cfg,n,wr,med,mean,sharpe,pf,nb_gate,ann,hold,ex_b,ex_m,max_dd,gate,yearly
E1_新高20_X1_rsi75_pure,97892.0,48.6,-0.161,-0.061,-0.013,1.04,,-0.62,24.4,-1.147,4.089,100.0,0.0,"{2016: np.float64(1.23), 2017: np.float64(-1.8), 2018: np.float64(-3.16), 2019: np.float64(-0.28), 2020: np.float64(0.17), 2021: np.float64(-0.73), 2022: np.float64(0.83), 2023: np.float64(-1.62), 2024: np.float64(2.28), 2025: np.float64(1.09), 2026: np.float64(-2.79)}"
E1_新高20_X2_tp8_kh,17648.0,56.06,1.159,-0.532,-0.127,0.69,,-4.58,28.7,-1.956,4.162,100.0,0.0,"{2016: np.float64(-2.06), 2017: np.float64(-6.39), 2018: np.float64(-5.12), 2019: np.float64(-0.99), 2020: np.float64(0.17), 2021: np.float64(-0.8), 2022: np.float64(0.93), 2023: np.float64(-1.5), 2024: np.float64(3.11), 2025: np.float64(1.56), 2026: np.float64(-3.3)}"
E1_新高20_X2_tp8_pure,104731.0,51.04,0.135,-0.451,-0.146,0.84,,-5.25,21.2,-1.38,3.176,100.0,0.0,"{2016: np.float64(-0.52), 2017: np.float64(-2.88), 2018: np.float64(-3.25), 2019: np.float64(-0.34), 2020: np.float64(-0.17), 2021: np.float64(-0.87), 2022: np.float64(0.67), 2023: np.float64(-1.57), 2024: np.float64(1.71), 2025: np.float64(0.81), 2026: np.float64(-2.54)}"
E1_新高20_X3_tp8sl7_kh,18373.0,42.3,-1.65,-1.134,-0.89,0.98,,-37.23,6.2,-1.517,0.071,100.0,0.0,"{2016: np.float64(-1.72), 2017: np.float64(-2.26), 2018: np.float64(-4.79), 2019: np.float64(-0.99), 2020: np.float64(-0.63), 2021: np.float64(-1.14), 2022: np.float64(-1.31), 2023: np.float64(-1.47), 2024: np.float64(-0.83), 2025: np.float64(-0.24), 2026: np.float64(-1.65)}"
E1_新高20_X3_tp8sl7_pure,121440.0,41.74,-1.042,-0.927,-0.851,1.02,,-34.53,5.5,-1.139,0.29,100.0,0.0,"{2016: np.float64(-0.71), 2017: np.float64(-1.1), 2018: np.float64(-3.73), 2019: np.float64(-0.69), 2020: np.float64(-1.07), 2021: np.float64(-1.02), 2022: np.float64(-1.21), 2023: np.float64(-1.17), 2024: np.float64(-0.22), 2025: np.float64(-0.51), 2026: np.float64(-1.36)}"
E1_新高20_X4_ma5_kh,18532.0,33.4,-2.091,-1.09,-1.563,1.3,,-65.6,2.6,-1.493,-0.756,100.0,0.0,"{2016: np.float64(-1.39), 2017: np.float64(-1.76), 2018: np.float64(-3.1), 2019: np.float64(-1.28), 2020: np.float64(-0.67), 2021: np.float64(-1.39), 2022: np.float64(-1.29), 2023: np.float64(-1.12), 2024: np.float64(-0.37), 2025: np.float64(-0.98), 2026: np.float64(-1.09)}"
E1_新高20_X4_ma5_pure,130962.0,32.12,-1.713,-0.688,-0.7,1.57,,-54.0,2.2,-0.966,-0.323,100.0,0.0,"{2016: np.float64(0.55), 2017: np.float64(0.04), 2018: np.float64(-2.14), 2019: np.float64(-0.88), 2020: np.float64(-0.81), 2021: np.float64(-1.09), 2022: np.float64(-1.47), 2023: np.float64(-0.97), 2024: np.float64(0.14), 2025: np.float64(-1.03), 2026: np.float64(-1.07)}"
E2_放量突破_X1_rsi75_kh,13817.0,52.26,0.436,-0.901,-0.175,0.75,,-6.39,34.5,-2.376,4.902,100.0,0.0,"{2016: np.float64(-2.13), 2017: np.float64(-7.43), 2018: np.float64(-5.54), 2019: np.float64(-1.44), 2020: np.float64(-0.07), 2021: np.float64(-0.86), 2022: np.float64(0.57), 2023: np.float64(-1.94), 2024: np.float64(2.69), 2025: np.float64(2.05), 2026: np.float64(-4.18)}"
E2_放量突破_X1_rsi75_pure,57729.0,49.63,-0.049,-0.386,-0.08,0.93,,-3.43,27.9,-1.303,4.575,100.0,0.0,"{2016: np.float64(0.39), 2017: np.float64(-3.09), 2018: np.float64(-3.78), 2019: np.float64(-0.55), 2020: np.float64(0.24), 2021: np.float64(-0.39), 2022: np.float64(0.89), 2023: np.float64(-1.57), 2024: np.float64(0.9), 2025: np.float64(1.59), 2026: np.float64(-3.36)}"
E2_放量突破_X2_tp8_kh,14005.0,55.25,0.988,-0.83,-0.192,0.67,,-6.74,30.1,-2.153,4.215,100.0,0.0,"{2016: np.float64(-1.89), 2017: np.float64(-6.74), 2018: np.float64(-5.28), 2019: np.float64(-0.91), 2020: np.float64(0.24), 2021: np.float64(-0.87), 2022: np.float64(0.67), 2023: np.float64(-1.9), 2024: np.float64(2.09), 2025: np.float64(1.54), 2026: np.float64(-3.78)}"
E2_放量突破_X2_tp8_pure,60449.0,52.03,0.276,-0.67,-0.194,0.77,,-6.77,24.2,-1.434,3.685,100.0,0.0,"{2016: np.float64(-0.87), 2017: np.float64(-3.64), 2018: np.float64(-3.9), 2019: np.float64(-0.55), 2020: np.float64(0.01), 2021: np.float64(-0.52), 2022: np.float64(0.8), 2023: np.float64(-1.46), 2024: np.float64(0.46), 2025: np.float64(1.3), 2026: np.float64(-2.98)}"
E2_放量突破_X3_tp8sl7_kh,14478.0,41.1,-1.953,-1.397,-1.11,0.95,,-42.87,6.3,-1.603,-0.003,100.0,0.0,"{2016: np.float64(-1.69), 2017: np.float64(-2.33), 2018: np.float64(-4.9), 2019: np.float64(-0.98), 2020: np.float64(-0.53), 2021: np.float64(-1.04), 2022: np.float64(-1.53), 2023: np.float64(-1.54), 2024: np.float64(-2.45), 2025: np.float64(-0.33), 2026: np.float64(-1.73)}"
E2_放量突破_X3_tp8sl7_pure,67927.0,41.9,-1.143,-1.058,-0.908,0.98,,-35.52,6.1,-1.108,0.449,100.0,0.0,"{2016: np.float64(-0.88), 2017: np.float64(-1.31), 2018: np.float64(-3.99), 2019: np.float64(-0.81), 2020: np.float64(-0.92), 2021: np.float64(-1.01), 2022: np.float64(-1.34), 2023: np.float64(-1.11), 2024: np.float64(-1.25), 2025: np.float64(-0.29), 2026: np.float64(-1.43)}"
E2_放量突破_X4_ma5_kh,14600.0,32.29,-2.224,-1.349,-2.04,1.21,,-73.36,2.6,-1.582,-0.87,100.0,0.0,"{2016: np.float64(-1.47), 2017: np.float64(-1.76), 2018: np.float64(-3.0), 2019: np.float64(-1.26), 2020: np.float64(-0.51), 2021: np.float64(-1.48), 2022: np.float64(-1.52), 2023: np.float64(-1.22), 2024: np.float64(-2.04), 2025: np.float64(-1.07), 2026: np.float64(-1.09)}"
E2_放量突破_X4_ma5_pure,71320.0,32.5,-1.753,-0.773,-0.874,1.49,,-56.07,2.4,-0.926,-0.25,100.0,0.0,"{2016: np.float64(0.2), 2017: np.float64(-0.25), 2018: np.float64(-2.2), 2019: np.float64(-0.84), 2020: np.float64(-0.63), 2021: np.float64(-1.15), 2022: np.float64(-1.52), 2023: np.float64(-0.94), 2024: np.float64(-0.72), 2025: np.float64(-0.94), 2026: np.float64(-1.06)}"
E3_唐奇安55_X1_rsi75_kh,10353.0,50.89,0.179,-0.875,-0.188,0.79,,-7.05,30.3,-2.147,4.368,100.0,0.0,"{2016: np.float64(-2.58), 2017: np.float64(-5.84), 2018: np.float64(-5.05), 2019: np.float64(-2.48), 2020: np.float64(-0.51), 2021: np.float64(-1.57), 2022: np.float64(0.11), 2023: np.float64(-1.52), 2024: np.float64(2.88), 2025: np.float64(1.38), 2026: np.float64(-3.25)}"
E3_唐奇安55_X1_rsi75_pure,63233.0,47.0,-0.361,-0.111,-0.022,1.1,,-1.27,22.0,-0.853,3.901,100.0,0.0,"{2016: np.float64(1.96), 2017: np.float64(-0.18), 2018: np.float64(-2.08), 2019: np.float64(-0.61), 2020: np.float64(0.01), 2021: np.float64(-1.31), 2022: np.float64(-0.1), 2023: np.float64(-1.84), 2024: np.float64(1.18), 2025: np.float64(0.77), 2026: np.float64(-2.59)}"
E3_唐奇安55_X2_tp8_kh,10455.0,53.48,0.683,-0.808,-0.207,0.72,,-7.46,26.4,-1.96,3.736,100.0,0.0,"{2016: np.float64(-2.35), 2017: np.float64(-5.29), 2018: np.float64(-4.99), 2019: np.float64(-1.86), 2020: np.float64(-0.26), 2021: np.float64(-1.41), 2022: np.float64(0.26), 2023: np.float64(-1.57), 2024: np.float64(2.2), 2025: np.float64(0.95), 2026: np.float64(-2.72)}"
E3_唐奇安55_X2_tp8_pure,67386.0,49.69,-0.041,-0.653,-0.222,0.84,,-8.34,18.9,-1.293,2.817,100.0,0.0,"{2016: np.float64(-0.79), 2017: np.float64(-2.3), 2018: np.float64(-2.4), 2019: np.float64(-0.65), 2020: np.float64(-0.39), 2021: np.float64(-1.46), 2022: np.float64(-0.09), 2023: np.float64(-1.89), 2024: np.float64(0.83), 2025: np.float64(0.48), 2026: np.float64(-2.35)}"
E3_唐奇安55_X3_tp8sl7_kh,10619.0,39.64,-1.952,-1.505,-1.392,0.96,,-54.2,4.9,-1.622,-0.348,100.0,0.0,"{2016: np.float64(-1.84), 2017: np.float64(-1.8), 2018: np.float64(-4.21), 2019: np.float64(-1.34), 2020: np.float64(-0.96), 2021: np.float64(-1.25), 2022: np.float64(-1.46), 2023: np.float64(-1.83), 2024: np.float64(-2.76), 2025: np.float64(-0.53), 2026: np.float64(-1.37)}"
E3_唐奇安55_X3_tp8sl7_pure,71416.0,40.8,-1.143,-0.994,-1.07,1.03,,-46.1,4.1,-1.045,0.054,100.0,0.0,"{2016: np.float64(-0.53), 2017: np.float64(-0.62), 2018: np.float64(-2.78), 2019: np.float64(-0.65), 2020: np.float64(-1.11), 2021: np.float64(-1.21), 2022: np.float64(-1.53), 2023: np.float64(-1.68), 2024: np.float64(-1.16), 2025: np.float64(-0.71), 2026: np.float64(-1.27)}"
E3_唐奇安55_X4_ma5_kh,10661.0,33.05,-2.256,-1.496,-2.329,1.13,,-81.0,2.3,-1.583,-0.941,100.0,0.0,"{2016: np.float64(-1.49), 2017: np.float64(-1.46), 2018: np.float64(-3.08), 2019: np.float64(-1.54), 2020: np.float64(-0.95), 2021: np.float64(-1.24), 2022: np.float64(-1.51), 2023: np.float64(-1.54), 2024: np.float64(-2.74), 2025: np.float64(-1.0), 2026: np.float64(-0.91)}"
E3_唐奇安55_X4_ma5_pure,73709.0,33.39,-1.766,-0.612,-0.527,1.58,,-53.79,2.0,-0.651,-0.063,100.0,0.0,"{2016: np.float64(1.91), 2017: np.float64(1.5), 2018: np.float64(-1.57), 2019: np.float64(-0.98), 2020: np.float64(-0.73), 2021: np.float64(-0.96), 2022: np.float64(-1.62), 2023: np.float64(-1.41), 2024: np.float64(-1.13), 2025: np.float64(-1.02), 2026: np.float64(-1.06)}"
E4_动量10_X1_rsi75_kh,17837.0,50.56,0.116,-0.682,-0.12,0.86,,-4.76,35.4,-2.326,5.328,100.0,0.0,"{2016: np.float64(-1.99), 2017: np.float64(-6.93), 2018: np.float64(-4.07), 2019: np.float64(-1.97), 2020: np.float64(-0.73), 2021: np.float64(-1.19), 2022: np.float64(2.23), 2023: np.float64(-2.05), 2024: np.float64(2.84), 2025: np.float64(2.03), 2026: np.float64(-5.15)}"
E4_动量10_X1_rsi75_pure,141405.0,48.25,-0.212,-0.249,-0.057,1.01,,-2.21,28.2,-1.478,4.591,100.0,0.0,"{2016: np.float64(-1.21), 2017: np.float64(-3.8), 2018: np.float64(-2.18), 2019: np.float64(-0.12), 2020: np.float64(0.07), 2021: np.float64(-0.89), 2022: np.float64(1.66), 2023: np.float64(-2.01), 2024: np.float64(1.99), 2025: np.float64(1.66), 2026: np.float64(-2.62)}"
E4_动量10_X2_tp8_kh,18327.0,54.84,1.033,-0.61,-0.139,0.72,,-5.19,29.0,-2.033,4.27,100.0,0.0,"{2016: np.float64(-1.87), 2017: np.float64(-5.95), 2018: np.float64(-3.79), 2019: np.float64(-1.39), 2020: np.float64(-0.44), 2021: np.float64(-0.81), 2022: np.float64(1.71), 2023: np.float64(-1.83), 2024: np.float64(2.12), 2025: np.float64(1.46), 2026: np.float64(-4.23)}"
E4_动量10_X2_tp8_pure,158997.0,52.35,0.318,-0.321,-0.092,0.84,,-3.37,23.6,-1.34,3.759,100.0,0.0,"{2016: np.float64(-1.12), 2017: np.float64(-3.49), 2018: np.float64(-2.21), 2019: np.float64(-0.18), 2020: np.float64(-0.04), 2021: np.float64(-0.76), 2022: np.float64(1.39), 2023: np.float64(-1.85), 2024: np.float64(1.48), 2025: np.float64(1.19), 2026: np.float64(-2.22)}"
E4_动量10_X3_tp8sl7_kh,19165.0,39.56,-2.528,-1.375,-1.152,1.04,,-49.16,5.2,-1.586,-0.194,100.0,0.0,"{2016: np.float64(-1.67), 2017: np.float64(-1.99), 2018: np.float64(-4.56), 2019: np.float64(-1.19), 2020: np.float64(-1.54), 2021: np.float64(-0.98), 2022: np.float64(-0.78), 2023: np.float64(-1.43), 2024: np.float64(-1.48), 2025: np.float64(-0.59), 2026: np.float64(-1.82)}"
E4_动量10_X3_tp8sl7_pure,197807.0,40.66,-1.389,-0.962,-0.809,1.09,,-34.63,5.7,-1.21,0.333,100.0,0.0,"{2016: np.float64(-1.54), 2017: np.float64(-1.72), 2018: np.float64(-3.56), 2019: np.float64(-0.54), 2020: np.float64(-1.34), 2021: np.float64(-1.03), 2022: np.float64(-0.58), 2023: np.float64(-1.42), 2024: np.float64(-0.13), 2025: np.float64(-0.49), 2026: np.float64(-1.21)}"
E4_动量10_X4_ma5_kh,19603.0,31.18,-2.258,-1.294,-1.99,1.32,,-77.18,2.2,-1.456,-0.818,100.0,0.0,"{2016: np.float64(-1.36), 2017: np.float64(-1.59), 2018: np.float64(-3.0), 2019: np.float64(-1.22), 2020: np.float64(-1.44), 2021: np.float64(-0.93), 2022: np.float64(-0.85), 2023: np.float64(-1.32), 2024: np.float64(-1.42), 2025: np.float64(-1.12), 2026: np.float64(-0.97)}"
E4_动量10_X4_ma5_pure,269948.0,28.74,-1.783,-1.082,-2.227,1.4,,-75.8,1.9,-1.223,-0.651,100.0,0.0,"{2016: np.float64(-1.45), 2017: np.float64(-1.43), 2018: np.float64(-2.11), 2019: np.float64(-0.85), 2020: np.float64(-1.3), 2021: np.float64(-1.18), 2022: np.float64(-1.27), 2023: np.float64(-1.22), 2024: np.float64(-0.42), 2025: np.float64(-1.16), 2026: np.float64(-0.95)}"
E5_动量20_X1_rsi75_kh,8224.0,48.91,-0.192,-0.707,-0.138,0.91,,-5.72,30.3,-2.476,4.314,100.0,0.0,"{2016: np.float64(-2.39), 2017: np.float64(-4.63), 2018: np.float64(-5.36), 2019: np.float64(-2.63), 2020: np.float64(-0.53), 2021: np.float64(-2.29), 2022: np.float64(2.67), 2023: np.float64(-2.84), 2024: np.float64(2.39), 2025: np.float64(1.01), 2026: np.float64(-5.25)}"
E5_动量20_X1_rsi75_pure,76772.0,47.56,-0.354,-0.625,-0.137,0.96,,-5.68,27.0,-1.771,4.125,100.0,0.0,"{2016: np.float64(-2.27), 2017: np.float64(-4.27), 2018: np.float64(-2.26), 2019: np.float64(-0.86), 2020: np.float64(-0.34), 2021: np.float64(-1.87), 2022: np.float64(0.77), 2023: np.float64(-2.75), 2024: np.float64(1.58), 2025: np.float64(1.05), 2026: np.float64(-2.69)}"
E5_动量20_X2_tp8_kh,8348.0,53.07,0.682,-0.552,-0.142,0.78,,-5.62,24.1,-2.108,3.362,100.0,0.0,"{2016: np.float64(-2.16), 2017: np.float64(-3.73), 2018: np.float64(-4.71), 2019: np.float64(-1.68), 2020: np.float64(-0.43), 2021: np.float64(-1.8), 2022: np.float64(1.95), 2023: np.float64(-2.54), 2024: np.float64(1.82), 2025: np.float64(0.8), 2026: np.float64(-4.22)}"
E5_动量20_X2_tp8_pure,83953.0,51.93,0.317,-0.582,-0.166,0.8,,-6.58,21.6,-1.55,3.222,100.0,0.0,"{2016: np.float64(-1.97), 2017: np.float64(-3.77), 2018: np.float64(-2.28), 2019: np.float64(-0.65), 2020: np.float64(-0.44), 2021: np.float64(-1.37), 2022: np.float64(0.66), 2023: np.float64(-2.46), 2024: np.float64(1.19), 2025: np.float64(0.69), 2026: np.float64(-2.28)}"
E5_动量20_X3_tp8sl7_kh,8480.0,38.0,-2.539,-1.611,-1.792,1.02,,-73.09,3.1,-1.75,-0.865,100.0,0.0,"{2016: np.float64(-1.48), 2017: np.float64(-1.7), 2018: np.float64(-3.59), 2019: np.float64(-1.14), 2020: np.float64(-1.64), 2021: np.float64(-1.15), 2022: np.float64(-0.69), 2023: np.float64(-1.78), 2024: np.float64(-2.54), 2025: np.float64(-0.89), 2026: np.float64(-1.57)}"
E5_动量20_X3_tp8sl7_pure,95405.0,39.85,-1.774,-1.155,-1.14,1.07,,-51.73,4.0,-1.318,-0.157,100.0,0.0,"{2016: np.float64(-1.86), 2017: np.float64(-2.01), 2018: np.float64(-3.32), 2019: np.float64(-0.64), 2020: np.float64(-1.45), 2021: np.float64(-1.32), 2022: np.float64(-1.13), 2023: np.float64(-1.78), 2024: np.float64(-0.63), 2025: np.float64(-0.99), 2026: np.float64(-1.09)}"
E5_动量20_X4_ma5_kh,8537.0,32.83,-2.481,-1.576,-2.584,1.15,,-89.08,1.8,-1.609,-1.088,100.0,0.0,"{2016: np.float64(-1.18), 2017: np.float64(-1.4), 2018: np.float64(-2.8), 2019: np.float64(-1.26), 2020: np.float64(-1.5), 2021: np.float64(-0.93), 2022: np.float64(-1.07), 2023: np.float64(-1.71), 2024: np.float64(-2.59), 2025: np.float64(-1.13), 2026: np.float64(-0.96)}"
E5_动量20_X4_ma5_pure,112057.0,31.25,-1.954,-1.252,-2.358,1.25,,-83.45,1.8,-1.289,-0.747,100.0,0.0,"{2016: np.float64(-1.49), 2017: np.float64(-1.54), 2018: np.float64(-2.4), 2019: np.float64(-1.14), 2020: np.float64(-1.42), 2021: np.float64(-1.13), 2022: np.float64(-1.62), 2023: np.float64(-1.6), 2024: np.float64(-0.97), 2025: np.float64(-1.26), 2026: np.float64(-0.93)}"
E6_多头新高_X1_rsi75_kh,11572.0,52.86,0.586,-0.784,-0.156,0.76,,-5.81,33.1,-1.831,5.095,100.0,0.0,"{2016: np.float64(-2.21), 2017: np.float64(-6.59), 2018: np.float64(-2.59), 2019: np.float64(-2.58), 2020: np.float64(-0.05), 2021: np.float64(-1.48), 2022: np.float64(0.69), 2023: np.float64(-1.78), 2024: np.float64(2.79), 2025: np.float64(2.05), 2026: np.float64(-3.58)}"
E6_多头新高_X1_rsi75_pure,65875.0,48.61,-0.172,-0.684,-0.178,0.89,,-6.71,24.9,-1.53,3.786,100.0,0.0,"{2016: np.float64(-1.4), 2017: np.float64(-4.25), 2018: np.float64(-2.84), 2019: np.float64(-0.83), 2020: np.float64(-0.37), 2021: np.float64(-1.43), 2022: np.float64(0.31), 2023: np.float64(-1.95), 2024: np.float64(1.53), 2025: np.float64(1.15), 2026: np.float64(-2.73)}"
E6_多头新高_X2_tp8_kh,11729.0,55.96,1.123,-0.649,-0.155,0.68,,-5.58,28.5,-1.562,4.433,100.0,0.0,"{2016: np.float64(-2.01), 2017: np.float64(-5.82), 2018: np.float64(-2.67), 2019: np.float64(-1.91), 2020: np.float64(0.16), 2021: np.float64(-1.5), 2022: np.float64(0.86), 2023: np.float64(-1.71), 2024: np.float64(2.28), 2025: np.float64(1.64), 2026: np.float64(-2.7)}"
E6_多头新高_X2_tp8_pure,69257.0,50.88,0.119,-0.711,-0.219,0.79,,-7.95,21.7,-1.448,3.215,100.0,0.0,"{2016: np.float64(-1.27), 2017: np.float64(-3.95), 2018: np.float64(-2.95), 2019: np.float64(-0.68), 2020: np.float64(-0.42), 2021: np.float64(-1.43), 2022: np.float64(0.28), 2023: np.float64(-1.95), 2024: np.float64(1.17), 2025: np.float64(0.84), 2026: np.float64(-2.46)}"
E6_多头新高_X3_tp8sl7_kh,11969.0,42.25,-1.664,-1.21,-0.983,0.96,,-40.12,6.0,-1.342,0.205,100.0,0.0,"{2016: np.float64(-1.8), 2017: np.float64(-1.98), 2018: np.float64(-3.28), 2019: np.float64(-1.34), 2020: np.float64(-0.68), 2021: np.float64(-1.39), 2022: np.float64(-1.39), 2023: np.float64(-1.77), 2024: np.float64(-1.5), 2025: np.float64(-0.31), 2026: np.float64(-1.27)}"
E6_多头新高_X3_tp8sl7_pure,74763.0,40.87,-1.143,-1.128,-1.089,0.99,,-43.43,5.0,-1.212,0.113,100.0,0.0,"{2016: np.float64(-1.25), 2017: np.float64(-1.77), 2018: np.float64(-3.54), 2019: np.float64(-0.71), 2020: np.float64(-1.23), 2021: np.float64(-1.28), 2022: np.float64(-1.49), 2023: np.float64(-1.7), 2024: np.float64(-0.94), 2025: np.float64(-0.51), 2026: np.float64(-1.32)}"
E6_多头新高_X4_ma5_kh,12058.0,33.36,-2.136,-1.229,-1.839,1.22,,-70.55,2.5,-1.365,-0.638,100.0,0.0,"{2016: np.float64(-1.55), 2017: np.float64(-1.59), 2018: np.float64(-2.52), 2019: np.float64(-1.53), 2020: np.float64(-0.66), 2021: np.float64(-1.32), 2022: np.float64(-1.45), 2023: np.float64(-1.52), 2024: np.float64(-1.35), 2025: np.float64(-0.97), 2026: np.float64(-0.86)}"
E6_多头新高_X4_ma5_pure,80491.0,32.48,-1.829,-1.172,-2.096,1.22,,-75.32,2.1,-1.269,-0.654,100.0,0.0,"{2016: np.float64(-1.3), 2017: np.float64(-1.42), 2018: np.float64(-2.33), 2019: np.float64(-1.2), 2020: np.float64(-1.09), 2021: np.float64(-1.25), 2022: np.float64(-1.61), 2023: np.float64(-1.46), 2024: np.float64(-0.86), 2025: np.float64(-0.95), 2026: np.float64(-1.05)}"
E7_多头动量_X1_rsi75_kh,13557.0,51.12,0.218,-0.62,-0.107,0.85,,-4.3,35.7,-1.968,5.663,100.0,0.0,"{2016: np.float64(-2.4), 2017: np.float64(-6.58), 2018: np.float64(-2.32), 2019: np.float64(-2.37), 2020: np.float64(-0.63), 2021: np.float64(-1.53), 2022: np.float64(2.13), 2023: np.float64(-2.71), 2024: np.float64(3.35), 2025: np.float64(2.06), 2026: np.float64(-4.79)}"
E7_多头动量_X1_rsi75_pure,114175.0,48.98,-0.135,-0.269,-0.058,0.98,,-2.26,29.7,-1.527,4.869,100.0,0.0,"{2016: np.float64(-1.5), 2017: np.float64(-4.11), 2018: np.float64(-2.18), 2019: np.float64(-0.15), 2020: np.float64(0.05), 2021: np.float64(-1.16), 2022: np.float64(1.29), 2023: np.float64(-2.28), 2024: np.float64(2.51), 2025: np.float64(1.72), 2026: np.float64(-2.79)}"
